boomrang;Boomer Rang'r / Genesis (set 1) (1983);4.00
bootcamp;Boot Camp (1987);5.66666666667
boothill;Boot Hill (1977);6.19
borench;Borench (1990);8.20
bosco;Bosconian (new version) (1981);7.69
boscomd;Bosconian (Midway, new version) (1981);7.68750000002
boscomdo;Bosconian (Midway, old version) (1981);7.68750000002
boscoo;Bosconian (old version) (1981);7.68750000002
boscoo2;Bosconian (older version) (1981);7.68750000002
bottom9;Bottom of the Ninth (version T) (1989);1.30
bottom9n;Bottom of the Ninth (version N) (1989);1.30303030298
bouldash;Boulder Dash / Boulder Dash Part 2 (World) (1990);7.80
bouldshj;;
bounty;The Bounty (1982);0.00
bowler;Bowling Alley (1978);2.00
bowlrama;Bowl-O-Rama (1991);2.00
boxer;Boxer (prototype) (1978);0.00
boxingb;Boxing Bugs (1981);7.00
boxyboy;Boxy Boy (US) (1990);3.27
bradley;Bradley Trainer (1980);6.00
brain;Brain (1986);5.00
brapboys;B.Rap Boys (World) (1992);6.73
brdrlinb;Borderline (Karateco bootleg) (1981);7.44444444444
breakers;Breakers (1996);7.83
breakrev;Breakers Revenge (1998);6.00
breywood;Breywood (Japan revision 2) (1986);7.8
brickyrd;Brickyard (1976);1.69230769234
brickzn;Brick Zone (v5.0, Joystick) (1992);1.00
brickzn3;;
brival;Burning Rival (World) (1992);7.33
brix;Brix (1982);4.33333333333
brkthru;Break Thru (US) (1986);7.75
brkthruj;Kyohkoh-Toppa (Japan) (1986);7.75
brubber;Burnin' Rubber (1982);5.69
brutforc;Brute Force (1991);7.50
brvblade;Brave Blade (World) (2000);9.01
bshark;Battle Shark (World) (1989);0.00
bsharkj;Battle Shark (Japan) (1989);0
bsktball;Basketball (1979);6.00
bssoccer;Back Street Soccer (1996);7.39
bstars;Baseball Stars Professional (NGM-002) (1990);8.07
bstars2;Baseball Stars 2 (1992);9.11
btime;Burger Time (Data East set 1) (1982);8.31
btime2;Burger Time (Data East set 2) (1982);8.31350482319
btimem;Burger Time (Midway) (1982);8.31350482319
btlecity;Vs. Battle City (1985);6.08
btlfield;Battle Field (Japan) (1987);8.03703703703
btlkroad;Battle K-Road (1994);3.78
btoads;Battle Toads (1994);8.66
bubblem;Bubble Memories;7.67
bubblemj;Bubble Memories;7.67164179101
bubbles;Bubbles (1982);8.23
bubblesp;Bubbles (prototype version) (1982);8.225
bubblesr;Bubbles (Solid Red label) (1982);8.225
bubbobr1;;
bubl2000;Bubble 2000 (1998);6.13
bublbob2;Bubble Bobble II (Ver 2.5O 1994/10/05) (1994);9.33
bublbobl;Bubble Bobble (1986);9.38
bublbobr;;
bubsympe;;
bubsymph;;
bubsympu;;
buckrog;Buck Rogers;6.33
buckrogn;Buck Rogers;6.33333333333
bucky;Bucky O'Hare (ver EAB) (1992);7.77
buckyua;;
buggychl;Buggy Challenge (1984);6.33
buggycht;;
bullfgt;Bullfight (315-5065) (1984);7.81
bullfgtr;Bull Fighter (1984);8.78
buraiken;Hissatsu Buraiken (Japan) (1987);2.8
burglarx;Burglar X (1997);0.00
burnforc;Burning Force (Japan new version) (1989);8.75
burningf;Burning Fight (NGM-018)(NGH-018) (1991);7.53
burningh;;
butasan;Butasan - Pig's & Bomber's (Japan, English) (1987);7.95
bwcasino;Boardwalk Casino (1983);5.71
bwidow;Black Widow (1982);7.43
bwing;;
bwings;B-Wings (Japan new Ver.) (1984);5.50
bzone;Battle Zone (rev 2) (1980);4.50
bzone2;;
bzonec;Battle Zone (cocktail) (1980);4.50406504064
cabal;Cabal (World, Joystick version) (1988);7.05
cabal2;;
cabalbl;Cabal (bootleg of Joystick version, set 1, alternate sound hardware) (1988);7.04878048781
cabaret;Cabaret (1992);0.00
cachat;Cachat (Japan) (1993);8.33
cadash;Cadash (World) (1989);8.09
cadashf;Cadash (France) (1989);8.08571428573
cadashi;Cadash (Italy) (1989);8.08571428573
cadashj;Cadash (Japan) (1989);8.08571428573
cadashu;Cadash (US) (1989);8.08571428573
cairblad;Change Air Blade (Japan) (1999);8.99
calibr50;Caliber 50 (1989);8.50
calipso;Calipso (1982);6.00
calspeed;California Speed (Version 2.1a, 4/17/98) (1998);8.27
cameltrj;;
cameltry;Cameltry (US, YM2610) (1989);8.50
camltrua;;
cannball;Cannon Ball (Yun Sung) (horizontal) (1995);3.00
cannonb;Cannon Ball (bootleg on Crazy Kong hardware) (set 1, buggy) (1985);6.87096774193
canyon;Canyon Bomber (1977);5.67
canyonp;Canyon Bomber (prototype) (1977);5.66744186047
capbowl;Capcom Bowling (set 1) (1988);7.98
capbowl2;Capcom Bowling (set 2) (1988);7.98
capitol;Capitol (1981);8.94642857144
captaven;Captain America and The Avengers (Asia Rev 1.4) (1991);4.97
captavna;;
captavne;;
captavnj;;
captavnu;;
captavuu;;
captcomj;;
captcomm;Captain Commando (World 911202) (1991);7.94
captcomu;;
caractn;Car Action (1982);5.68548387097
carjmbre;Car Jamboree (1983);0.00
carnevil;CarnEvil (v1.0.3) (1998);7.92
carnival;Carnival (upright) (1980);6.74
carnvckt;;
carpolo;Car Polo (1977);4.00
castfant;Astro Fantasia (DECO Cassette) (1981);4.25
catapult;Catapult (1982);0.00
catch22;Catch-22 (version 8.0) (1985);6
cavelon;Cavelon (1983);0.00
cavenger;Cosmic Avenger (1981);6.60
cawing;Carrier Air Wing (World 901012) (1990);8.40
cawingj;U.S. Navy (Japan 901012) (1990);8.39999999999
cawingu;Carrier Air Wing (USA 901012) (1990);8.39999999999
cbasebal;Capcom Baseball (Japan) (1989);8.06
cbdash;Boulder Dash (DECO Cassette) (1985);4.54
cbnj;Bump 'n' Jump (DECO Cassette) (1982);8.90909090909
cbtime;Burger Time (DECO Cassette) (1983);7.00
cburnrb2;;
cburnrub;Burnin' Rubber (DECO Cassette, set 1) (1982);8.91
cbuster;Crude Buster (World FX version) (1990);6.09
cbusterj;Crude Buster (Japan) (1990);6.08928571428
cbusterw;Crude Buster (World FU version) (1990);6.08928571428
ccasino;Chinese Casino [BET] (Japan) (1987);3.67
ccastle2;;
ccastle3;;
ccastles;Crystal Castles (version 4) (1983);5.02
ccboot;Crazy Climber (bootleg set 1) (1980);7.26785714286
ccboot2;Crazy Climber (bootleg set 2) (1980);7.26785714286
cchasm;Cosmic Chasm (set 1) (1983);5.50
cchasm1;Cosmic Chasm (set 2) (1983);5.5
cclimber;Crazy Climber (US) (1980);7.27
cclimbr2;Crazy Climber 2 (Japan) (1988);6.00
cclimbrj;;
cdiscon1;Disco No.1 (DECO Cassette) (1982);0.00
centipb2;;
centipd2;;
centipdb;Centipede (bootleg) (1980);8.07894736843
centiped;Centipede (revision 3) (1980);8.08
centtime;Centipede (1 player, timed) (1980);8.07894736843
cerberus;Cerberus (1985);0.00
cexplore;Explorer (DECO Cassette) (1982);0.00
cfghtice;Fighting Ice Hockey (DECO Cassette) (1984);0.00
cflyball;Flying Ball (DECO Cassette) (1985);0.00
cgangpzj;;
cgangpzl;Cosmo Gang the Puzzle (US) (1992);8.50
cgraplop;Cluster Buster / Graplop (DECO Cassette, set 1) (1983);0.00
cgraplp2;;
chaknpop;Chack'n Pop (1983);8.06
challeng;Challenger (1981);6.95
chameleo;Chameleon (1983);5.60
champbas;Champion Base Ball (1983);8.33
